name,age,height_cm,weight_kgs,positions,nationality,overall_rating,international_reputation,body_type,national_team,national_rating,freekick_accuracy,sprint_speed,shot_power,strength,penalties,preferred_foot,value_euro
P. Sabbag,21,187.96,82.1,ST,Colombia,63,1,Lean,,,25,58,61,82,61,Left,675000
I. Louati,25,193.04,88,ST,Tunisia,63,1,Lean,,,35,69,60,79,60,Right,500000
W. Suwayyid,31,175.26,66.2,LB,Saudi Arabia,63,1,Lean,,,43,74,66,70,50,Left,270000
C. Melivilú,25,182.88,77.1,ST,Chile,63,1,Stocky,,,35,73,64,78,55,Right,500000
Miravent,24,152.4,64.9,"CM,CDM",Spain,63,1,Lean,,,40,63,56,45,47,Right,500000
Fornos,22,154.94,68.9,CB,Spain,63,1,Normal,,,45,68,35,65,46,Left,550000
A. Al Shamekh,25,175.26,76.2,"LB,RB",Saudi Arabia,63,1,Lean,,,60,78,57,69,36,Left,400000
O. Mfulu,24,182.88,76.2,"CM,CDM",DR Congo,63,1,Normal,,,45,63,51,62,49,Right,475000
Wang Lin,31,152.4,74.8,"RB,LB,RM",China PR,63,1,Normal,,,45,70,43,75,43,Right,270000
Zhang Xiaofei,36,152.4,73.9,"LB,LWB",China PR,63,1,Normal,,,45,36,48,78,43,Left,80000
Oribe,23,170.18,66.2,"CAM,CM",Spain,63,1,Lean,,,53,65,57,67,56,Left,525000
J. Hofmann,22,170.18,67.1,"CM,CDM,CAM",Germany,63,1,Normal,,,57,68,73,45,40,Right,575000
J. Scherzer,23,185.42,76.2,"LB,CB",Austria,63,1,Normal,,,33,67,54,72,34,Left,400000
A. Iniestra,22,175.26,78.9,"CM,CDM",Mexico,63,1,Normal,,,45,55,65,71,48,Left,575000
K. Guthrie,25,190.5,69.9,ST,England,63,1,Lean,,,38,67,64,68,63,Right,450000
F. Eguelfi,24,152.4,73.9,LM,Italy,63,1,Lean,,,43,64,35,55,50,Left,500000
B. Blasi,23,154.94,74.8,"RB,CB",Argentina,63,1,Stocky,,,32,68,46,71,47,Right,425000
D. Konstantopoulos,40,193.04,89.8,GK,Greece,63,1,Normal,,,11,36,22,52,18,Left,20000
C. Bramall,22,152.4,72.1,LB,England,63,1,Lean,,,44,88,55,56,34,Left,425000
Y. Diouf,19,187.96,74.8,GK,France,63,1,Lean,,,13,44,25,52,11,Right,625000
Kim Jin Hyuk,25,187.96,78,CB,Korea Republic,63,1,Normal,,,29,62,62,71,59,Right,450000
A. Chapman,28,203.2,92.1,GK,England,63,1,Normal,,,14,32,23,61,23,Right,300000
J. Sudić,28,193.04,82.1,CB,Sweden,63,1,Normal,,,27,48,51,81,23,Right,350000
J. Bourdouxhe,27,172.72,68,"LB,CM",Belgium,63,1,Lean,,,71,76,58,58,58,Left,300000
D. Jones,32,187.96,88.9,LB,England,63,1,Normal,,,67,82,56,73,48,Left,240000
P. Grazziani,24,182.88,74.8,GK,Colombia,63,1,Normal,,,14,40,24,43,23,Right,375000
M. Novak,28,182.88,79.8,"RB,LB",Austria,63,1,Normal,,,25,67,46,70,44,Right,300000
A. Herrera,21,154.94,69.9,"LB,RB",United States,63,1,Lean,,,43,73,32,73,42,Right,525000
A. Andersson,28,193.04,82.1,GK,Sweden,63,1,Normal,,,15,27,18,66,17,Right,300000
B. Baiye,18,152.4,74.8,"CDM,CM",Belgium,63,1,Stocky,,,35,63,48,75,48,Right,650000
H. Löfkvist,23,185.42,76.2,"CB,CDM",Sweden,63,1,Lean,,,24,68,50,70,31,Right,425000
S. Puttkammer,30,193.04,81.2,"CDM,CB",Germany,63,1,Normal,,,27,46,39,81,34,Right,290000
R. Çağıran,24,175.26,64,"LB,CDM,CM",Turkey,63,1,Lean,,,41,61,56,58,49,Right,425000
D. Bock,24,182.88,74.8,"RM,RB",Germany,63,1,Normal,,,35,74,66,63,50,Right,500000
F. Marković,27,154.94,78,"RM,LM",Serbia,63,1,Normal,,,60,72,63,56,60,Right,400000
L. Sætra,27,195.58,89.8,CB,Norway,63,1,Normal,,,18,47,57,86,27,Right,375000
J. Strauß,23,152.4,73,RWB,Philippines,63,1,Lean,,,40,68,55,53,47,Right,450000
M. Ridenton,22,154.94,72.1,"CM,CDM",New Zealand,63,1,Normal,Newcastle Jets,64,62,69,60,67,48,Right,475000
L. Osaki,27,187.96,82.1,CB,Japan,63,1,Normal,,,30,65,49,75,36,Right,350000
M. Ambrose,25,175.26,74.8,"LB,RB",United States,63,1,Lean,,,38,73,68,64,54,Left,400000
C. Cásseres Jr,19,175.26,68,"CM,CDM,CAM",Venezuela,63,1,Normal,,,58,74,50,48,48,Right,750000
V. De Marco,26,182.88,73,CB,Argentina,63,1,Lean,,,38,64,33,72,40,Left,375000
M. Born,24,175.26,68.9,"ST,LM",Germany,63,1,Normal,,,36,82,63,56,51,Right,500000
T. Salamon,30,175.26,73.9,"LB,LM",Austria,63,1,Normal,,,58,68,52,56,55,Left,280000
J. Castillo,23,187.96,83,GK,Mexico,63,1,Normal,,,11,15,20,62,16,Right,375000
M. Bähre,23,152.4,69.9,CAM,Germany,63,1,Lean,,,47,67,66,48,65,Right,575000
E. Andoh,26,170.18,64.9,"LM,RM,CAM",Ghana,63,1,Lean,,,36,80,49,56,50,Right,450000
T. Konrad,29,185.42,79.8,CB,Germany,63,1,Lean,,,21,67,57,74,31,Right,325000
P. Koch,28,154.94,76.2,"RB,LB,RM",Switzerland,63,1,Normal,,,31,71,39,64,31,Right,300000
O. Storflor,39,154.94,74.8,RW,Norway,63,1,Normal,,,72,55,68,63,54,Right,120000
J. Gerlach,29,193.04,74.8,CB,Germany,63,1,Normal,,,22,52,33,79,31,Left,325000
Maicon Sampinho,27,154.94,81.2,"ST,CF,RW",Brazil,63,1,Normal,,,55,65,67,67,71,Right,400000
W. Nightingale,23,185.42,83.9,"CB,CDM",England,63,1,Normal,,,29,69,39,74,31,Right,475000
Adrià Pedrosa,20,175.26,68.9,LB,Spain,63,1,Normal,,,39,68,52,54,38,Left,525000
C. Zamudio,20,172.72,73,ST,Mexico,63,1,Normal,,,58,69,65,50,60,Right,525000
A. Zamudio,21,175.26,68.9,"CM,CAM",Mexico,63,1,Normal,,,49,65,57,64,54,Right,650000
C. Wighton,21,185.42,72.1,"ST,LM,CF",Scotland,63,1,Lean,,,32,83,66,64,49,Right,650000
Jaime,23,182.88,74.8,CB,Spain,63,1,Normal,,,35,71,66,75,45,Right,450000
Jeong Dong Ho,29,175.26,68,"RB,LB",Korea Republic,63,1,Normal,,,30,73,32,61,40,Right,290000
C. Kröpfl,28,170.18,73,"LM,RM",Austria,63,1,Stocky,,,60,78,59,41,44,Right,375000
V. Lia,33,152.4,73,"CDM,CM",Australia,63,1,Normal,,,44,46,64,78,48,Right,150000
N. Estévez,23,154.94,74.8,"RM,CM",Argentina,63,1,Normal,,,46,69,66,57,66,Right,550000
D. Cleary,22,182.88,72.1,CB,Republic of Ireland,63,1,Lean,,,31,63,44,71,50,Right,500000
E. Gertmonas,22,193.04,92.1,GK,Lithuania,63,1,Normal,,,14,53,19,80,23,Right,450000
B. Gaul,29,195.58,91.2,"CDM,CB,LB",United States,63,1,Lean,,,23,59,59,86,36,Left,300000
N. Tyson,36,182.88,64,"LW,ST",England,63,1,Normal,,,54,83,63,64,59,Left,120000
S. Ambrosius,20,182.88,79.8,"CB,CDM",Germany,63,1,Stocky,,,28,69,50,71,42,Right,725000
S. Müller,23,190.5,82.1,GK,Germany,63,1,Normal,,,10,27,18,66,11,Right,400000
S. Ring,23,152.4,73.9,LB,Sweden,63,1,Lean,,,50,67,35,61,34,Left,450000
J. Pigott,25,182.88,59.9,ST,England,63,1,Lean,,,58,69,60,74,58,Right,500000
K. Mellor,28,187.96,74.8,"RB,CB,RM",England,63,1,Lean,,,27,66,34,72,34,Right,300000
M. Collao,20,172.72,67.1,CAM,Chile,63,1,Lean,,,71,71,57,36,57,Right,800000
G. Pinto,27,182.88,76.2,"LB,LM",Italy,63,1,Normal,,,64,78,64,58,51,Left,325000
S. Furtado,24,175.26,68,RB,France,63,1,Lean,,,48,74,48,41,51,Right,400000
M. Kristensen,21,187.96,77.1,"RW,LW",Denmark,63,1,Lean,,,65,79,59,49,45,Right,625000
M. Komenda,22,182.88,76.2,CB,Germany,63,1,Normal,,,42,83,46,74,42,Left,475000
Gwon Wan Gyu,27,182.88,76.2,"RB,CB,LB",Korea Republic,63,1,Normal,,,31,80,34,67,38,Right,350000
F. Ladapo,26,182.88,78.9,ST,Nigeria,63,1,Normal,,,31,80,65,77,62,Right,475000
C. Özkan,19,182.88,69.9,"RB,RM",Germany,63,1,Normal,,,39,69,63,66,49,Right,575000
I. Diallo,20,152.4,68,"CM,CDM",France,63,1,Lean,,,39,67,55,55,47,Left,775000
D. Zamora,21,185.42,78,CB,Mexico,63,1,Lean,,,41,71,48,70,47,Right,625000
Jin Taiyan,29,175.26,62.1,"LB,CM,RB",China PR,63,1,Lean,,,35,80,55,43,34,Right,290000
M. Maroši,25,190.5,79.8,GK,Slovakia,63,1,Normal,,,14,42,23,67,28,Right,350000
Kim Da Sol,30,187.96,82.1,GK,Korea Republic,63,1,Normal,,,13,31,19,67,17,Right,290000
F. Kanoute,20,185.42,78,CM,Senegal,63,1,Lean,,,62,66,75,76,42,Right,775000
R. Schmid,19,175.26,73,CAM,Austria,63,1,Normal,,,40,73,58,64,48,Right,750000
B. Vazquez,20,190.5,78.9,"ST,RM",United States,63,1,Stocky,,,41,71,63,79,64,Right,650000
S. Nelson,23,185.42,74.8,CB,England,63,1,Lean,,,25,53,39,71,37,Right,450000
J. Muñoz,28,154.94,82.1,GK,Chile,63,1,Normal,,,18,42,22,63,23,Right,290000
E. Pezzi,29,154.94,74.8,"LB,RB,CB",Italy,63,1,Normal,,,33,72,43,76,37,Right,290000
S. Gölles,27,187.96,82.1,RB,Austria,63,1,Normal,,,29,74,22,74,38,Right,350000
Jeon Se Jin,19,182.88,69.9,"ST,LW",Korea Republic,63,1,Lean,,,34,83,60,53,58,Right,625000
H. Jafry,27,152.4,68.9,"CDM,CM",Saudi Arabia,63,1,Lean,,,36,65,44,70,43,Left,350000
Yoo Hyun,34,182.88,82.1,GK,Korea Republic,63,1,Normal,,,13,57,23,30,26,Right,190000
H. Ben Moussa,26,154.94,73.9,"CM,CDM",Morocco,63,1,Normal,,,60,69,48,62,62,Right,450000
O. Ndiaye,20,182.88,74.8,CAM,Senegal,63,1,Normal,,,52,69,62,52,53,Left,800000
Guerrero,21,175.26,73.9,"LWB,LB",Spain,63,1,Stocky,,,43,67,49,55,41,Left,475000
F. Plach,27,193.04,79.8,GK,Slovakia,63,1,Normal,,,10,23,29,60,10,Right,325000
L. Soares,24,175.26,68,LB,France,63,1,Normal,,,35,68,66,66,59,Left,375000
Gao Di,29,152.4,74.8,ST,China PR,63,1,Lean,,,54,74,58,73,43,Right,375000
Roger Figueras,21,154.94,73.9,RB,Spain,63,1,Normal,,,36,66,58,65,45,Right,525000
Y. Nogami,27,154.94,72.1,CB,Japan,63,1,Lean,,,23,61,39,71,27,Right,375000
J. Gorenc Stanković,23,190.5,78,CB,Slovenia,63,1,Lean,,,29,44,53,69,40,Right,550000
A. Gryszkiewicz,19,185.42,81.2,LB,Poland,63,1,Normal,,,30,71,35,74,37,Left,500000
E. Calvillo,21,170.18,64,CM,United States,63,1,Normal,,,48,66,78,47,60,Right,575000
B. Al Mutairi,28,167.64,49.9,"LB,LWB",Saudi Arabia,63,1,Lean,,,33,83,20,57,37,Left,290000
M. Andersen,32,152.4,71.2,"RM,CM",Norway,63,1,Lean,,,57,67,58,72,44,Right,290000
J. McGrath,22,175.26,69.9,"CAM,RM",Republic of Ireland,63,1,Normal,,,53,73,58,65,56,Right,575000
S. Demetriou,28,154.94,73.9,"LB,RB",Cyprus,63,1,Normal,,,43,74,60,60,45,Left,300000
N. Rieble,23,182.88,79.8,"LB,CB,LM",Germany,63,1,Lean,,,32,68,63,64,35,Left,425000
L. Travis,21,175.26,69.9,"CDM,CM,RB",England,63,1,Normal,,,40,63,37,58,44,Right,625000
D. Schmidt,26,182.88,82.1,"CB,LB,RB",Argentina,63,1,Lean,,,33,59,52,73,51,Right,425000
Ruan Teles,21,172.72,64.9,RM,Brazil,63,1,Normal,,,53,74,63,45,62,Right,550000
M. Fritz,25,193.04,83.9,"CB,CDM",Germany,63,1,Normal,,,27,55,58,83,36,Right,400000
J. Hanson,31,193.04,78,ST,England,63,1,Normal,,,23,32,71,91,59,Left,350000
E. List,21,152.4,72.1,"ST,RM,LM",England,63,1,Normal,,,41,93,79,71,50,Right,675000
C. Højer Nielsen,24,182.88,79.8,LB,Denmark,63,1,Normal,,,58,77,75,71,50,Left,425000
H. Ishige,24,170.18,68.9,"LM,CAM",Japan,63,1,Normal,,,66,66,54,52,53,Right,500000
R. González,23,182.88,74.8,CB,Mexico,63,1,Normal,,,25,64,43,64,44,Right,525000
K. Kinoshita,24,190.5,84.8,"ST,RW",Japan,63,1,Normal,,,40,70,61,75,57,Right,500000
P. Engblom,27,182.88,74.8,ST,Sweden,63,1,Lean,,,49,72,62,68,64,Right,450000
A. Odabas,25,187.96,78,"CB,LB",Germany,63,1,Normal,,,35,68,31,74,40,Left,425000
J. Lewis,21,170.18,68,"LW,RW,ST",United States,63,1,Lean,,,41,74,62,49,53,Right,800000
W. Parra,24,165.1,54.9,CDM,Colombia,63,1,Lean,,,42,64,57,33,46,Right,525000
J. Mareš,32,182.88,78.9,ST,Czech Republic,63,1,Normal,,,57,67,58,72,64,Right,325000
A. Georgen,20,172.72,67.1,RB,France,63,1,Lean,,,46,74,56,55,48,Right,700000
O. Abdeldjelil,25,187.96,79.8,ST,Algeria,63,1,Lean,,,35,61,63,60,66,Right,475000
M. Kiprit,19,182.88,79.8,ST,Germany,63,1,Normal,,,42,67,71,72,60,Right,775000
L. Tankulic,27,182.88,77.1,"ST,RM,CAM",Germany,63,1,Normal,,,53,70,64,73,45,Right,425000
Arribas,20,154.94,71.2,"ST,CAM",Spain,63,1,Lean,,,39,59,55,56,71,Right,650000
L. Angol,24,187.96,74.8,ST,England,63,1,Normal,,,61,84,65,69,65,Right,500000
M. Aceval,36,182.88,88,"LB,CB",Chile,63,1,Stocky,,,74,37,77,77,75,Left,80000
S. Suganuma,28,182.88,78,CB,Japan,63,1,Normal,,,25,58,47,72,46,Right,325000
J. Yeboah,18,170.18,66.2,"LM,ST",Germany,63,1,Normal,,,36,76,56,47,42,Left,750000
D. Smuga,22,182.88,78,"ST,RM",Poland,63,1,Normal,,,55,74,65,61,53,Right,575000
V. Hammershøj-Mistrati,26,152.4,76.2,CM,Denmark,63,1,Normal,,,58,54,59,56,45,Right,450000
Sergio Buenacasa,22,182.88,73,ST,Spain,63,1,Normal,,,40,69,61,59,69,Right,525000
M. Fitzgerald,30,185.42,82.1,"CB,LB",Japan,63,1,Normal,,,29,59,51,87,33,Right,290000
Valdu Té,21,187.96,79.8,ST,Guinea Bissau,63,1,Normal,,,34,55,65,74,66,Right,550000
R. Serena,22,172.72,69.9,"CM,CDM",Italy,63,1,Normal,,,48,73,61,64,51,Right,550000
B. Niasse,22,195.58,64.9,GK,Senegal,63,1,Lean,,,12,36,15,38,17,Right,375000
E. Ersu,24,195.58,92.1,GK,Turkey,63,1,Normal,,,17,34,25,68,11,Right,375000
D. Léon,26,185.42,88,GK,France,63,1,Normal,,,18,46,20,79,22,Right,350000
C. Maloney,23,167.64,66.2,"RB,RWB",United States,63,1,Lean,,,38,70,58,61,51,Right,400000
S. Hoskins,26,172.72,67.1,"RM,LM,ST",England,63,1,Normal,,,45,82,62,58,52,Right,450000
D. Hancko,21,187.96,78,LB,Slovakia,63,1,Stocky,,,38,53,46,69,47,Left,500000
P. Mazzocchi,23,154.94,73.9,"RB,RM",Italy,63,1,Lean,,,40,76,62,60,55,Right,425000
M. Tørnes,33,187.96,83.9,GK,Denmark,63,1,Normal,,,13,53,23,64,22,Right,210000
D. Hładun,23,190.5,77.1,GK,Poland,63,1,Lean,,,16,35,20,38,21,Right,350000
A. Hughes,39,182.88,69.9,"CB,LB",Northern Ireland,63,2,Normal,,,25,26,48,74,45,Right,50000
M. Nielsen,28,187.96,79.8,"CB,CM",Denmark,63,1,Stocky,,,52,57,54,75,35,Right,300000
J. Lindberg,29,152.4,69.9,"ST,LM",Sweden,63,1,Lean,,,64,65,66,59,40,Right,375000
J. Medina,24,154.94,73.9,"RM,RW,ST,CAM",Colombia,63,1,Lean,,,45,73,62,55,49,Right,500000
S. Gartenmann,22,185.42,83,"RB,CB",Denmark,63,1,Normal,,,28,66,54,77,37,Right,525000
J. Ramos,26,182.88,79.8,"RM,ST",Colombia,63,1,Normal,,,46,76,60,78,58,Right,450000
M. Büyüksakarya,23,172.72,69.9,"RB,LB,RM",Germany,63,1,Normal,,,35,72,44,55,40,Right,400000
M. Bloomfield,35,172.72,73,CM,England,63,1,Normal,,,35,65,54,65,46,Right,180000
S. Bauer,26,182.88,77.1,CB,Austria,63,1,Lean,,,27,61,41,62,35,Right,400000
R. Milsom,32,152.4,72.1,"CM,CDM,LB",England,63,1,Lean,,,65,66,65,78,66,Left,325000
N. Alho,25,172.72,76.2,"RM,RW",Finland,63,1,Normal,,,55,74,60,58,59,Right,450000
Kim Dae Won,22,172.72,64,"LW,ST",Korea Republic,63,1,Lean,,,34,75,67,59,60,Right,650000
D. Iversen,21,190.5,84.8,GK,Denmark,63,1,Normal,,,11,44,23,67,21,Right,525000
J. Bartosz,22,182.88,76.2,"RB,RM",Poland,63,1,Normal,,,39,80,59,77,35,Right,475000
T. Chorý,24,200.66,101.2,ST,Czech Republic,63,1,Normal,,,27,57,61,95,50,Right,525000
Chi Wenyi,31,182.88,69.9,GK,China PR,63,1,Normal,,,11,27,23,53,19,Right,240000
O. Batista Meier,18,152.4,59.9,"LM,LW",Germany,63,1,Lean,,,45,73,54,42,58,Right,725000
G. Sağlam,20,152.4,72.1,"CAM,LM,CM",Germany,63,1,Normal,,,42,67,56,42,52,Right,700000
E. Binaku,23,185.42,69.9,LWB,Albania,63,1,Lean,,,32,84,49,65,34,Left,450000
L. Hendrie,24,152.4,72.1,"RB,LB",England,63,1,Lean,,,45,72,49,61,30,Right,400000
M. Peškovič,37,187.96,88,GK,Slovakia,63,1,Normal,,,14,30,45,50,23,Left,50000
A. Riel,29,182.88,73,ST,Denmark,63,1,Lean,,,46,80,65,62,53,Right,375000
A. Fallatah,24,154.94,69.9,CB,Saudi Arabia,63,1,Lean,,,21,69,31,69,31,Right,425000
P. Slišković,28,193.04,91.2,ST,Croatia,63,1,Lean,,,40,73,67,85,63,Right,400000
W. Ditta,22,154.94,79.8,CB,Colombia,63,1,Stocky,,,22,62,32,77,31,Right,500000
I. Sayan,25,167.64,60.8,"RW,ST,LW,CF",Turkey,63,1,Lean,,,38,67,59,34,49,Right,475000
J. Fujimoto,34,172.72,68.9,"RM,CAM",Japan,63,1,Normal,,,36,45,50,61,46,Left,190000
L. Legge,33,193.04,79.8,CB,England,63,1,Normal,,,25,40,31,83,27,Right,150000
I. Sirelius,31,152.4,78,"LM,LW",Sweden,63,1,Normal,,,38,70,60,69,48,Right,350000
J. Flores,22,167.64,59.9,LW,Chile,63,1,Normal,,,38,76,61,31,65,Right,600000
Elton Monteiro,25,193.04,82.1,CB,Portugal,63,1,Lean,,,21,71,56,74,40,Right,425000
Jeon Min Gwang,26,185.42,73,"CDM,CM,CB,ST",Korea Republic,63,1,Lean,,,39,68,61,74,52,Right,400000
M. Mampala,18,182.88,74.8,"ST,LW,RW",England,63,1,Lean,,,44,77,59,65,59,Right,750000
B. Purrington,22,152.4,73,LB,England,63,1,Normal,,,39,67,48,68,40,Left,425000
L. Olascoaga,27,165.1,55.8,"RB,RWB",Mexico,63,1,Lean,,,41,82,46,48,57,Left,325000
S. Gassama,23,190.5,88,ST,Spain,63,1,Stocky,,,35,56,63,78,68,Right,525000
Kenny Rocha Santos,19,175.26,67.1,RM,Cape Verde,63,1,Normal,,,61,70,51,37,59,Right,600000
I. Vujica,21,154.94,83,LB,Australia,63,1,Lean,,,37,74,33,69,33,Left,425000
I. Pomazun,22,190.5,83.9,GK,Russia,63,1,Normal,,,16,37,18,44,19,Right,400000
H. Boateng,23,182.88,79.8,CM,England,63,1,Normal,,,43,67,61,78,41,Left,475000
I. Gelios,26,190.5,76.2,GK,Greece,63,1,Lean,,,14,42,19,61,17,Right,325000
L. Pintor,18,152.4,66.2,"ST,LW",France,63,1,Lean,,,40,75,63,54,59,Right,825000
J. Jacobs,21,182.88,73.9,"CM,CAM",Netherlands,63,1,Normal,,,53,70,62,52,56,Left,650000
N. Pantaleone,26,152.4,77.1,LB,Argentina,63,1,Normal,,,35,65,32,61,40,Left,375000
A. Affane,25,175.26,69.9,CM,Sweden,63,1,Lean,,,68,69,68,49,66,Left,475000
M. Sagnan,19,187.96,71.2,CB,France,63,1,Normal,,,30,64,40,72,39,Left,725000
Edu Cortina,22,175.26,64,"CM,CAM",Spain,63,1,Lean,,,55,56,56,48,42,Right,625000
Q. Bena,20,185.42,78.9,"RB,CDM",France,63,1,Stocky,,,46,62,45,76,54,Right,525000
Rao Weihui,29,152.4,71.2,"LB,LM",China PR,63,1,Normal,,,70,73,24,64,63,Left,280000
Borja,25,175.26,64.9,"LM,RM",Spain,63,1,Lean,,,48,73,39,32,60,Left,500000
C. Dobnik,32,154.94,79.8,GK,Austria,63,1,Normal,,,8,42,24,50,22,Right,220000
N. Nartey,19,185.42,79.8,CM,Denmark,63,1,Lean,,,40,68,44,56,41,Right,750000
M. Farfan,20,175.26,68,"LB,CB,CDM",United States,63,1,Lean,,,37,71,34,56,56,Right,500000
M. Chouiar,20,152.4,74.8,"RM,LM",France,63,1,Lean,,,51,72,55,43,57,Right,800000
J. Escobar,31,190.5,78.9,GK,Colombia,63,1,Lean,,,15,43,18,65,23,Right,240000
K. Ntlhe,25,175.26,66.2,"LB,CB",South Africa,63,1,Lean,,,18,77,50,65,23,Left,400000
Josemi,21,172.72,64.9,"CM,CDM",Spain,63,1,Normal,,,70,66,65,40,54,Right,600000
M. Lüftner,24,190.5,86.2,CB,Czech Republic,63,1,Lean,,,29,44,50,80,25,Right,400000
J. Abu Hanna,21,182.88,79.8,"LB,CB,LM",Germany,63,1,Stocky,,,30,69,46,77,35,Left,550000
T. Ünlü,29,182.88,74.8,RB,Germany,63,1,Normal,,,39,66,36,59,42,Right,290000
M. Van Damme,25,182.88,79.8,GK,Belgium,63,1,Stocky,,,21,49,26,57,26,Right,350000
J. Parker,28,154.94,76.2,ST,Antigua & Barbuda,63,1,Normal,,,46,88,54,68,42,Right,400000
E. Massouema,21,182.88,73,"CDM,CM",France,63,1,Lean,,,47,65,66,57,51,Right,575000
J. Monroy,23,185.42,69.9,RB,Armenia,63,1,Lean,,,31,75,26,63,32,Right,475000
Q. Braat,21,193.04,89.8,GK,France,63,1,Lean,,,13,31,17,60,14,Right,500000
C. Stokes,28,185.42,83,"CB,LWB",England,63,1,Normal,,,27,54,56,72,36,Left,300000
L. Schnellbacher,24,154.94,76.2,"ST,RW",Germany,63,1,Normal,,,32,75,64,56,63,Right,500000
Julen López,23,190.5,83.9,CB,Spain,63,1,Normal,,,29,57,35,68,31,Left,525000
L. Campana,26,154.94,74.8,ST,Argentina,63,1,Normal,,,34,66,69,73,59,Right,475000
D. Parrett,27,152.4,73,"CM,RM",England,63,1,Lean,,,63,69,65,59,59,Right,425000
M. Hvilsom,26,185.42,82.1,ST,Denmark,63,1,Normal,,,32,69,64,72,52,Right,475000
Kim Hyeon Wook,23,160.02,60.8,"CM,CAM",Korea Republic,63,1,Normal,,,63,79,64,55,38,Left,550000
J. Mucha,36,187.96,87.1,GK,Slovakia,63,1,Normal,,,12,42,14,62,32,Right,90000
P. Green,35,170.18,77.1,CM,Republic of Ireland,63,1,Normal,,,55,56,62,66,63,Right,150000
N. Gotfredsen,30,185.42,78,"RB,CM",Denmark,63,1,Normal,,,40,78,66,71,34,Right,280000
Carlos Doncel,22,170.18,64,"LM,LW,RM,RW",Spain,63,1,Normal,,,60,70,58,52,70,Left,550000
P. Lima,28,154.94,77.1,"CDM,CAM",Uruguay,63,1,Lean,,,35,59,52,63,38,Right,350000
M. Zimmer,26,175.26,72.1,CAM,Germany,63,1,Lean,,,74,60,73,49,55,Right,475000
J. Mosquera,23,154.94,69.9,CB,Colombia,63,1,Normal,,,24,58,37,81,55,Right,425000
U. Korun,31,187.96,78.9,CB,Slovenia,63,1,Normal,,,31,40,39,70,42,Right,250000
R. Sánchez,24,190.5,88.9,GK,Mexico,63,1,Lean,,,18,43,36,58,30,Right,375000
B. Roche,36,193.04,89.8,GK,Republic of Ireland,63,1,Normal,,,13,24,22,74,13,Right,50000
Unai Vencedor,18,175.26,71.2,CM,Spain,63,1,Normal,,,74,66,65,63,42,Right,725000
E. Sylvestre,19,172.72,68.9,"RW,CM,CAM",France,63,1,Normal,,,54,64,65,45,68,Left,750000
T. Eriksson,33,152.4,69.9,RM,Sweden,63,1,Lean,,,65,58,57,61,49,Right,220000
C. Pain,25,175.26,68,LM,Australia,63,1,Normal,,,41,91,64,53,58,Left,475000
J. Ruffels,25,152.4,74.8,"LB,CM",England,63,1,Lean,,,60,54,60,67,33,Left,400000
Wu Yan,30,190.5,82.1,GK,China PR,63,1,Lean,,,18,43,18,57,15,Right,250000
P. Mráz,32,187.96,74.8,LB,Slovakia,63,1,Lean,,,67,54,44,69,39,Left,240000
M. Perdijić,36,195.58,93.9,GK,Croatia,63,1,Stocky,,,14,41,20,61,27,Right,50000
S. Ito,30,182.88,76.2,ST,Japan,63,1,Normal,,,55,66,69,77,44,Right,375000
J. Matuwila,27,185.42,79.8,CB,Germany,63,1,Normal,,,18,80,37,82,38,Left,375000
N. Fofana,28,182.88,78,"RWB,RB",France,63,1,Normal,,,26,72,42,72,40,Right,290000
D. Djulbic,36,193.04,89.8,CB,Australia,63,1,Normal,,,42,35,59,90,39,Right,90000
S. Kalajdzic,21,200.66,76.2,"ST,CAM",Austria,63,1,Lean,,,47,71,58,80,39,Right,650000
H. Silveira,25,187.96,82.1,ST,Uruguay,63,1,Stocky,,,32,51,74,87,65,Right,500000
M. Jones,31,182.88,78,"CM,CDM",England,63,1,Normal,,,66,77,64,68,51,Right,350000
C. Kouan,19,152.4,73.9,CM,Ivory Coast,63,1,Normal,,,57,62,68,61,60,Right,750000
L. Marseiler,22,175.26,68,"RM,LM",Germany,63,1,Lean,,,40,73,51,46,41,Right,550000
Yang Xiaotian,28,152.4,72.1,LB,China PR,63,1,Normal,,,41,69,52,69,40,Left,290000
D. Henen,22,185.42,73,"LW,ST",Belgium,63,1,Normal,,,52,79,64,69,53,Right,525000
O. Turton,26,154.94,74.8,"RB,LB,CM",England,63,1,Lean,,,35,70,45,69,46,Right,375000
L. Schlüter,26,185.42,78,LB,Germany,63,1,Normal,,,61,77,60,63,58,Left,375000
Víctor Fernández,20,175.26,69.9,"LM,CAM,RM",Spain,63,1,Lean,,,52,70,63,47,63,Right,800000
A. Jones,21,182.88,69.9,"CB,CDM",England,63,1,Normal,,,34,60,48,74,44,Right,550000
Carlos Travisso,35,154.94,74.8,GK,Brazil,63,1,Normal,,,19,48,17,52,18,Right,150000
Neto,26,187.96,93,GK,Brazil,63,1,Normal,,,19,48,25,70,32,Right,350000
J. Day,28,190.5,83.9,GK,England,63,1,Normal,,,15,55,23,79,13,Left,300000
S. Hatanaka,23,182.88,79.8,CB,Japan,63,1,Lean,,,31,60,43,78,36,Right,425000
Carlos Gracia,25,182.88,79.8,CB,Spain,63,1,Normal,,,26,64,30,64,39,Right,425000
G. Lillard,23,193.04,88,CB,United States,63,1,Lean,,,25,54,41,75,34,Left,475000
